#
# *1      *2      *3     *4     *5         *6                   7          8         9        10
# id,     dia,  hora,  Zona, Local, Visitante, resultado (L, V, E), set1 L-V, set2 L-V, set3 L-V 
# ----------------------------------------------------------------------------------------------
#
#
$clasi
1, 26/11, 11:57, Zona A, Alberdi - Laplacette, Astesiano - Guardo
2, 26/11, 11:57, Zona A, Alberdi - Laplacette, Elizalde - Ragghianti
3, 26/11, 11:57, Zona A, Alberdi - Laplacette, Rodolfo - Cheret
4, 26/11, 11:57, Zona A, Alberdi - Laplacette, Roldán - Bovio
5, 26/11, 11:57, Zona A, Astesiano - Guardo, Elizalde - Ragghianti
6, 26/11, 11:57, Zona A, Astesiano - Guardo, Rodolfo - Cheret
7, 26/11, 11:57, Zona A, Astesiano - Guardo, Roldán - Bovio
8, 26/11, 11:57, Zona A, Elizalde - Ragghianti, Rodolfo - Cheret
9, 26/11, 11:57, Zona A, Elizalde - Ragghianti, Roldán - Bovio
10, 26/11, 11:57, Zona A, Rodolfo - Cheret, Roldán - Bovio
11, 26/11, 11:57, Zona B, Chiesa - Puente, de Elía - Rocha
12, 26/11, 11:57, Zona B, Chiesa - Puente, Espinosa - Garrido
13, 26/11, 11:57, Zona B, Chiesa - Puente, Ford - Victorica
14, 26/11, 11:57, Zona B, de Elía - Rocha, Espinosa - Garrido
15, 26/11, 11:57, Zona B, de Elía - Rocha, Ford - Victorica
16, 26/11, 11:57, Zona B, Espinosa - Garrido, Ford - Victorica

# $semi
# 12/12, 19:00, semi, CUBA A, Ferro B   
# 12/12, 19:30, semi, Gure Echea, GEBA   

# $final
# 12/12, 19:00, final, CUBA A, Ferro B   

# Created: 26 nov 2024 11:57

