$clasi

1, Zona A, de Elía - Vasconet, Grimau - Guido Lavalle
2, Zona A, de Elía - Vasconet, Lensberg - Sfair
3, Zona A, de Elía - Vasconet, Maya - Maya
4, Zona A, de Elía - Vasconet, Victorica - Victorica

5, Zona A, Grimau - Guido Lavalle, Lensberg - Sfair, V, 24-25

6, Zona A, Grimau - Guido Lavalle, Maya - Maya

7, Zona A, Grimau - Guido Lavalle, Victorica - Victorica, V, 21-25

8, Zona A, Lensberg - Sfair, Maya - Maya
9, Zona A, Lensberg - Sfair, Victorica - Victorica
10, Zona A, Maya - Maya, Victorica - Victorica

